provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
chaco	presidencia de la plaza	62	3589	97	0	4328	8076	7917
chaco	quitilipi	198	9564	130	0	10210	20102	19774
chaco	san fernando	2148	155755	3593	213	116505	278214	272260
chaco	san lorenzo	82	3500	92	2	6261	9937	9761
chaco	sargento cabral	91	4709	82	0	7014	11896	11723
chaco	tapenaga	21	938	23	3	1194	2179	2132
chubut	biedma	818	35060	1893	59	21440	59270	56500
chubut	cushamen	292	7609	601	2	9522	18026	17131
chubut	escalante	1715	71487	3290	80	48358	124930	119845
chubut	futaleufu	515	16013	1069	15	12392	30004	28405
chubut	gaiman	93	4968	245	7	2557	7870	7525
chubut	languineo	32	764	60	0	843	1699	1607
chubut	martires	5	186	5	0	165	361	351
chubut	paso de indios	15	428	14	0	506	963	934
chubut	rawson	1313	51062	2823	60	33474	88732	84536
chubut	rio senguer	34	1676	80	0	1538	3328	3214
chubut	sarmiento	63	4706	173	4	2883	7829	7589
chubut	tehuelches	52	1584	94	1	1589	3320	3173
ciudad autonoma de buenos aires	comuna 1	2591	66712	2029	62	48894	120288	115606
ciudad autonoma de buenos aires	comuna 2	3143	68722	1529	36	26417	99847	95139
ciudad autonoma de buenos aires	comuna 3	2516	57270	2262	64	49365	111477	106635
ciudad autonoma de buenos aires	comuna 4	2459	64516	2761	83	64341	134160	128857
ciudad autonoma de buenos aires	comuna 5	3383	56460	2416	69	53690	116018	110150
ciudad autonoma de buenos aires	comuna 6	4412	66137	2581	78	51035	124243	117172
ciudad autonoma de buenos aires	comuna 7	3456	68841	2741	68	56211	131317	125052
ciudad autonoma de buenos aires	comuna 8	1608	52558	2066	59	53511	109802	106069
ciudad autonoma de buenos aires	comuna 9	2596	59128	2305	56	50107	114192	109235
ciudad autonoma de buenos aires	comuna 10	3309	60358	2621	64	48495	114847	108853
ciudad autonoma de buenos aires	comuna 11	4200	73591	3028	111	53583	134513	127174
ciudad autonoma de buenos aires	comuna 12	4804	82141	3436	102	59627	150110	141768
ciudad autonoma de buenos aires	comuna 13	6412	102794	2875	69	50899	163049	153693
ciudad autonoma de buenos aires	comuna 14	5523	95260	2544	69	47636	151032	142896
ciudad autonoma de buenos aires	comuna 15	3844	59669	2690	91	58629	124923	118298
cordoba	calamuchita	745	31975	1131	14	12361	46226	44336
cordoba	capital	13781	614786	18946	452	204639	852604	819425
cordoba	colon	2686	142786	3913	80	42981	192446	185767
cordoba	cruz del eje	409	19310	753	16	17174	37662	36484
cordoba	general roca	281	14958	321	2	5447	21009	20405
cordoba	general san martin	1462	61945	1729	33	25525	90694	87470
cordoba	ischilin	262	14320	388	0	7222	22192	21542
cordoba	juarez celman	629	31230	849	5	9491	42204	40721
cordoba	marcos juarez	1508	49248	988	16	16320	68080	65568
cordoba	minas	49	1514	62	0	1594	3219	3108
cordoba	pocho	48	1879	46	0	1116	3089	2995
cordoba	presidente roque saenz pena	336	16469	428	1	5952	23186	22421
cordoba	punilla	2037	97023	3511	41	34828	137440	131851
cordoba	rio cuarto	2705	115591	3747	25	42205	164273	157796
cordoba	rio primero	402	26075	530	5	7547	34559	33622
cordoba	rio seco	136	6109	154	1	3251	9651	9360
cordoba	rio segundo	1043	56835	1585	4	15441	74908	72276
cordoba	san alberto	443	17945	601	9	9403	28401	27348
cordoba	san javier	467	23969	796	24	14126	39382	38095
cordoba	san justo	2190	105046	2655	55	33681	143627	138727
cordoba	santa maria	1279	63379	2086	19	19824	86587	83203
cordoba	sobremonte	33	1365	39	0	1234	2671	2599
cordoba	tercero arriba	1452	57237	1521	23	17254	77487	74491
cordoba	totoral	160	10580	185	6	3438	14369	14018
cordoba	tulumba	105	5448	146	1	3118	8818	8566
cordoba	union	1291	50125	1073	7	18523	71019	68648
corrientes	bella vista	161	11941	328	2	13729	26161	25670
corrientes	beron de astrada	9	1052	28	0	905	1994	1957
corrientes	capital	1937	152108	4357	137	84746	243285	236854
corrientes	concepcion	90	5707	170	3	8758	14728	14465
corrientes	curuzu cuatia	273	13912	496	15	14517	29213	28429
corrientes	empedrado	75	5753	189	4	5645	11666	11398
corrientes	esquina	159	9258	288	6	12843	22554	22101
corrientes	general alvear	40	2248	72	2	2540	4902	4788
corrientes	general paz	67	4810	118	0	5974	10969	10784
corrientes	goya	545	24910	926	19	34718	61118	59628
corrientes	itati	30	3703	67	1	3301	7102	7004
corrientes	ituzaingo	177	15137	407	4	10971	26696	26108
corrientes	lavalle	153	7530	284	3	14461	22431	21991
corrientes	mburucuya	66	2427	69	2	4549	7113	6976
corrientes	mercedes	197	14855	506	15	13428	29001	28283
corrientes	monte caseros	204	13886	275	10	11314	25689	25200
corrientes	paso de los libres	254	15728	486	11	17591	34070	33319
corrientes	saladas	118	6569	201	5	9318	16211	15887
corrientes	san cosme	136	11715	260	6	5851	17968	17566
corrientes	san luis del palmar	90	6923	239	1	7402	14655	14325
corrientes	san martin	96	4022	98	0	4593	8809	8615
corrientes	san miguel	63	2413	93	5	5163	7737	7576
corrientes	san roque	106	4775	153	2	8786	13822	13561
corrientes	santo tome	287	22659	605	12	17453	41016	40112
corrientes	sauce	54	2150	99	0	3601	5904	5751
entre rios	colon	694	28198	970	5	16358	46225	44556
entre rios	concordia	1302	63144	1849	29	49129	115453	112273
entre rios	diamante	401	21578	656	7	9333	31975	30911
entre rios	federacion	579	32536	823	9	16661	50608	49197
entre rios	federal	264	9478	264	12	8905	18923	18383
entre rios	feliciano	89	4999	144	6	4686	9924	9685
entre rios	gualeguay	497	23334	786	13	12875	37505	36209
entre rios	gualeguaychu	1137	52248	1655	30	28293	83363	80541
entre rios	islas del ibicuy	78	4658	177	2	3603	8518	8261
entre rios	la paz	466	22165	824	16	21393	44864	43558
entre rios	nogoya	356	17205	453	7	9661	27682	26866
entre rios	parana	3649	148239	5461	116	88702	246167	236941
entre rios	san salvador	189	8634	221	1	4534	13579	13168
entre rios	tala	253	11385	370	7	6878	18893	18263
entre rios	uruguay	1016	42646	1457	15	26624	71758	69270
entre rios	victoria	298	15413	467	8	8709	24895	24122
entre rios	villaguay	334	19186	540	10	12576	32646	31762
formosa	bermejo	72	2267	27	0	6443	8809	8710
formosa	formosa	1552	83136	1774	33	73347	159842	156483
formosa	laishi	120	5176	93	2	7981	13372	13157
formosa	matacos	67	2659	71	1	7066	9864	9725
formosa	patino	332	15885	244	13	29515	45989	45400
