provincia	departamen	Blanco	LLA	NULO	OTRO	UxP	total	total.valido
corrientes	bella vista	161	0.4651733541098559	328	2	0.5348266458901442	26161	25670
corrientes	beron de astrada	9	0.5375574859478794	28	0	0.4624425140521206	1994	1957
corrientes	capital	1937	0.6422015249900783	4357	137	0.35779847500992173	243285	236854
corrientes	concepcion	90	0.39453854130660215	170	3	0.6054614586933978	14728	14465
corrientes	curuzu cuatia	273	0.4893594568926097	496	15	0.5106405431073904	29213	28429
corrientes	empedrado	75	0.5047376732760134	189	4	0.4952623267239867	11666	11398
corrientes	esquina	159	0.4188950726211484	288	6	0.5811049273788517	22554	22101
corrientes	general alvear	40	0.46950710108604843	72	2	0.5304928989139516	4902	4788
corrientes	general paz	67	0.4460311572700297	118	0	0.5539688427299704	10969	10784
corrientes	goya	545	0.41775675856979944	926	19	0.5822432414302006	61118	59628
corrientes	itati	30	0.528697886921759	67	1	0.471302113078241	7102	7004
corrientes	ituzaingo	177	0.579783974260763	407	4	0.420216025739237	26696	26108
corrientes	lavalle	153	0.34241280523850665	284	3	0.6575871947614933	22431	21991
corrientes	mburucuya	66	0.34790711009174313	69	2	0.6520928899082569	7113	6976
corrientes	mercedes	197	0.5252271682636213	506	15	0.47477283173637874	29001	28283
corrientes	monte caseros	204	0.551031746031746	275	10	0.44896825396825396	25689	25200
corrientes	paso de los libres	254	0.4720429784807467	486	11	0.5279570215192533	34070	33319
corrientes	saladas	118	0.41348272172216277	201	5	0.5865172782778372	16211	15887
corrientes	san cosme	136	0.666913355345554	260	6	0.3330866446544461	17968	17566
corrientes	san luis del palmar	90	0.48328097731239095	239	1	0.516719022687609	14655	14325
corrientes	san martin	96	0.4668601276842716	98	0	0.5331398723157283	8809	8615
corrientes	san miguel	63	0.31850580781414994	93	5	0.6814941921858501	7737	7576
corrientes	san roque	106	0.352112676056338	153	2	0.647887323943662	13822	13561
corrientes	santo tome	287	0.5648932987634623	605	12	0.4351067012365377	41016	40112
corrientes	sauce	54	0.37384802643018605	99	0	0.6261519735698139	5904	5751
entre rios	colon	694	0.6328665050722686	970	5	0.3671334949277314	46225	44556
entre rios	concordia	1302	0.5624148281421179	1849	29	0.43758517185788215	115453	112273
entre rios	diamante	401	0.6980686487011096	656	7	0.30193135129889037	31975	30911
entre rios	federacion	579	0.6613411386873184	823	9	0.3386588613126817	50608	49197
entre rios	federal	264	0.5155850514061905	264	12	0.4844149485938095	18923	18383
entre rios	feliciano	89	0.5161590087764585	144	6	0.48384099122354157	9924	9685
entre rios	gualeguay	497	0.6444254190947002	786	13	0.3555745809052998	37505	36209
entre rios	gualeguaychu	1137	0.648713077811301	1655	30	0.35128692218869895	83363	80541
entre rios	islas del ibicuy	78	0.5638542549328168	177	2	0.4361457450671832	8518	8261
entre rios	la paz	466	0.5088617475549841	824	16	0.49113825244501585	44864	43558
entre rios	nogoya	356	0.6404005062160352	453	7	0.3595994937839649	27682	26866
entre rios	parana	3649	0.6256367618943113	5461	116	0.3743632381056888	246167	236941
entre rios	san salvador	189	0.6556804374240583	221	1	0.34431956257594165	13579	13168
entre rios	tala	253	0.6233915566993374	370	7	0.37660844330066257	18893	18263
entre rios	uruguay	1016	0.6156489100620759	1457	15	0.38435108993792405	71758	69270
entre rios	victoria	298	0.6389602852168145	467	8	0.3610397147831855	24895	24122
entre rios	villaguay	334	0.604055160254392	540	10	0.39594483974560796	32646	31762
formosa	bermejo	72	0.2602755453501722	27	0	0.7397244546498278	8809	8710
formosa	formosa	1552	0.5312781580107744	1774	33	0.4687218419892257	159842	156483
formosa	laishi	120	0.3934027513870943	93	2	0.6065972486129056	13372	13157
formosa	matacos	67	0.2734190231362468	71	1	0.7265809768637532	9864	9725
formosa	patino	332	0.3498898678414097	244	13	0.6501101321585903	45989	45400
formosa	pilagas	63	0.31505981145528006	59	1	0.6849401885447199	12746	12623
formosa	pilcomayo	487	0.3878791167055504	493	11	0.6121208832944496	56284	55293
formosa	pirane	388	0.3945513524060389	371	12	0.6054486475939611	41772	41001
formosa	ramon lista	51	0.19176775248739267	29	0	0.8082322475126074	7417	7337
jujuy	cochinoca	240	0.6135055454162572	224	4	0.3864944545837428	7591	7123
jujuy	dr. manuel belgrano	1812	0.637170696074273	3571	93	0.36282930392572693	175228	169752
jujuy	el carmen	481	0.6320664324496966	937	31	0.36793356755030343	67200	65751
jujuy	humahuaca	83	0.5475038699690402	275	11	0.45249613003095973	10705	10336
jujuy	ledesma	412	0.5063733432235648	672	19	0.49362665677643525	52332	51229
jujuy	palpala	256	0.6027927187938846	692	25	0.39720728120611537	38714	37741
jujuy	rinconada	5	0.4811111111111111	18	0	0.5188888888888888	923	900
jujuy	san antonio	36	0.6307289393278045	102	4	0.36927106067219556	4724	4582
jujuy	san pedro	342	0.47305233719536555	689	32	0.5269476628046345	51123	50060
jujuy	santa barbara	70	0.4126091844676987	123	2	0.5873908155323013	11758	11563
jujuy	santa catalina	10	0.40466613032984716	25	0	0.5953338696701529	1278	1243
jujuy	tilcara	69	0.5175267210665441	186	5	0.48247327893345593	8961	8701
jujuy	tumbaya	17	0.4877179080824089	84	2	0.5122820919175911	2627	2524
jujuy	yavi	181	0.5379817687509996	308	12	0.4620182312490005	13007	12506
la pampa	atreuco	97	0.6208562609045766	148	13	0.3791437390954234	7709	7451
la pampa	caleu caleu	16	0.5388440024860162	21	0	0.46115599751398384	1646	1609
la pampa	capital	1172	0.5037216304821939	1486	29	0.49627836951780613	73758	71071
la pampa	catrilo	57	0.5864971346704871	83	2	0.4135028653295129	5726	5584
la pampa	chalileo	21	0.467294610151753	31	0	0.532705389848247	1963	1911
la pampa	chapaleufu	99	0.640161554966553	99	0	0.3598384450334469	8121	7923
la pampa	chical co	13	0.4789311408016444	6	0	0.5210688591983555	992	973
la pampa	conhelo	129	0.576530612244898	170	0	0.42346938775510207	10099	9800
la pampa	guatrache	167	0.7099725526075022	64	0	0.2900274473924977	5696	5465
la pampa	hucal	106	0.6455972967600875	137	1	0.3544027032399125	5275	5031
la pampa	lihuel calel	3	0.5854922279792746	1	0	0.41450777202072536	197	193
la pampa	limay mahuida	5	0.5087108013937283	3	0	0.4912891986062718	295	287
la pampa	loventue	47	0.5139909059111577	100	2	0.48600909408884224	5867	5718
la pampa	maraco	638	0.6169477601121152	876	9	0.3830522398878848	42909	41386
la pampa	puelen	62	0.6385812630948817	120	0	0.3614187369051182	6864	6682
la pampa	quemu quemu	77	0.6699029126213593	112	1	0.3300970873786408	5855	5665
la pampa	rancul	97	0.561787775640077	116	2	0.438212224359923	6972	6757
la pampa	realico	160	0.6507488986784141	212	3	0.3492511013215859	11725	11350
la pampa	toay	160	0.5440057301459397	236	3	0.45599426985406033	11568	11169
la pampa	trenel	60	0.5169997404619777	48	4	0.48300025953802234	3965	3853
la pampa	utracan	144	0.6264617763602977	213	4	0.37353822363970235	10708	10347
la rioja	general angel v. penaloza	20	0.35917901938426455	19	0	0.6408209806157354	1793	1754
la rioja	arauco	90	0.5231708537683916	116	5	0.47682914623160844	10202	9991
la rioja	capital	962	0.5827657153545209	1593	47	0.41723428464547907	130916	128314
la rioja	castro barros	36	0.3777350324597259	39	2	0.622264967540274	4236	4159
la rioja	chamical	90	0.5088309503784693	129	11	0.4911690496215307	9742	9512
la rioja	chilecito	344	0.5820088432122371	364	14	0.4179911567877629	34194	33472
la rioja	coronel felipe varela	131	0.4442695664615825	84	0	0.5557304335384176	7204	6989
la rioja	famatina	72	0.43210463733650417	55	0	0.5678953626634958	4332	4205
la rioja	general belgrano	42	0.5118672547784079	53	0	0.4881327452215921	4856	4761
la rioja	general juan f. quiroga	51	0.42662389735364875	18	0	0.5733761026463512	2563	2494
la rioja	general lamadrid	20	0.3477366255144033	9	0	0.6522633744855967	1487	1458
la rioja	general ocampo	55	0.31324820430965683	29	0	0.6867517956903432	5096	5012
la rioja	general san martin	25	0.356360013284623	43	0	0.6436399867153769	3079	3011
la rioja	independencia	15	0.3109724388975559	20	0	0.6890275611024441	1958	1923
la rioja	rosario vera penaloza	75	0.40028789724283026	117	5	0.5997121027571698	9228	9031
la rioja	san blas de los sauces	31	0.4702251270878722	48	0	0.5297748729121278	2833	2754
la rioja	sanagasta	15	0.3885201093322921	23	1	0.6114798906677079	2600	2561
la rioja	vinchina	22	0.37369640787949016	22	0	0.6263035921205099	1770	1726
mendoza	capital	1493	0.7286166402931623	1516	47	0.2713833597068377	75098	72042
mendoza	general alvear	472	0.6344915860407333	483	21	0.36550841395926664	27539	26563
mendoza	godoy cruz	2068	0.7213355459213373	2879	61	0.2786644540786627	120107	115099
